NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
314,5856,23443,23443,5856,0,1901207
315,75321,301073,301073,75321,0,26707841
316,30525,122270,122270,30525,0,10530619
317,27117,108457,108457,27117,0,8516836
318,2502,10010,10010,2502,0,855865
319,17899,71622,71622,17899,0,5656545
320,89878,359526,359526,89878,0,30507039
321,56867,227524,227524,56867,0,19697467
322,10811,43287,43287,10811,0,3523169
323,226646,906377,906377,226646,0,78094535
324,50548,202097,202097,50548,0,17189231
325,5353,21184,21184,5353,0,1753836
326,108082,432053,432053,108082,0,37500160
327,2180,8636,8636,2180,0,788612
328,41063,164334,164334,41063,0,13588575
329,154665,618203,618203,154665,0,55203437
330,78745,314781,314781,78745,0,27678328
331,6619,26536,26536,6619,0,2871110
332,2234,8901,8901,2234,0,657908
333,12029,48113,48113,12029,0,3852708
334,46789,187220,187220,46789,0,14720468
335,7245,28905,28905,7245,0,1965243
336,30468,121873,121873,30468,0,11527715
337,5515,21998,21998,5515,0,1908809
338,28139,112425,112425,28139,0,8641692
339,19391,77532,77532,19391,0,5446892
340,32681,130965,130965,32681,0,9664228
341,321,1218,1218,321,0,109066
342,3417,13701,13701,3417,0,930721
343,15953,63808,63808,15953,0,4224060
344,4151,16635,16635,4151,0,2018754
345,13755,55119,55119,13755,0,4289559
346,21287,85190,85190,21287,0,6084332
347,16923,67760,67760,16923,0,5523794
348,32229,128956,128956,32229,0,10269210
349,17273,69141,69141,17273,0,4877582
350,55993,223766,223766,55993,0,18291592
351,5221,20921,20921,5221,0,1739508
352,77535,309933,309933,77535,0,26742930
353,15790,63078,63078,15790,0,4291313
354,23139,92357,92357,23139,0,6418256
355,5071,20459,20459,5071,0,1837463
356,99345,397187,397187,99345,0,33815293
357,9041,36176,36176,9041,0,2465254
358,9193,36756,36756,9193,0,2478120
359,29452,117954,117954,29452,0,8316832
360,49661,198412,198412,49661,0,15028954
361,5735,22997,22997,5735,0,1946530
362,16983,68149,68149,16983,0,5262970
363,8761,35020,35020,8761,0,2393030
364,18255,73037,73037,18255,0,5844853
365,54165,216814,216814,54165,0,16770217
366,28531,113779,113779,28531,0,9808090
367,10436,41401,41401,10436,0,3333984
368,13914,55762,55762,13914,0,3825223
369,29461,117875,117875,29461,0,8602218
370,38190,152914,152914,38190,0,11969829
371,2317,9174,9174,2317,0,653230
372,19303,76708,76708,19303,0,6281411
373,12197,48255,48255,12197,0,3227842
374,68743,274827,274827,68743,0,23892288
375,38764,155038,155038,38764,0,11853159
376,4213,16762,16762,4213,0,1400320
377,18575,74393,74393,18575,0,6425274
378,6613,26606,26606,6613,0,2046532
379,375,1498,1498,375,0,119008
380,3913,15527,15527,3913,0,1058209
381,8179,32793,32793,8179,0,2883098
382,72138,288327,288327,72138,0,25266000
383,120683,482667,482667,120683,0,38343160
384,6651,26579,26579,6651,0,2075188
385,17813,71263,71263,17813,0,6368548
386,27464,109906,109906,27464,0,8732922
387,381,1502,1502,381,0,145325
388,36139,144254,144254,36139,0,12172171
389,7331,29241,29241,7331,0,2281916
390,3081,12436,12436,3081,0,942416
391,4641,18544,18544,4641,0,1539211
392,9532,37686,37686,9532,0,2945380
393,5265,21076,21076,5265,0,1476053
394,24167,96665,96665,24167,0,7279969
395,33685,134959,134959,33685,0,10320673
396,72153,288900,288900,72153,0,24495517
397,13336,53380,53380,13336,0,3662353
398,40228,160565,160565,40228,0,12169248
399,9929,39542,39542,9929,0,2969065
400,70463,281546,281546,70463,0,21988742
401,48181,192552,192552,48181,0,15848853
402,6703,26954,26954,6703,0,1853838
403,50646,202688,202688,50646,0,15049715
404,16063,63960,63960,16063,0,4393362
405,61759,247229,247229,61759,0,19357694
406,68019,271845,271845,68019,0,22000730
407,37165,148809,148809,37165,0,11035015
408,42165,168359,168359,42165,0,12409019
409,60319,240918,240918,60319,0,18129893
410,66217,264605,264605,66217,0,22819167
411,14299,57158,57158,14299,0,4562664
412,33173,132879,132879,33173,0,10525063
413,34683,138297,138297,34683,0,10830332
414,46536,186314,186314,46536,0,14076596
415,32317,129400,129400,32317,0,9090532
416,8754,34874,34874,8754,0,2459113
417,9779,39201,39201,9779,0,2701808
418,52199,208903,208903,52199,0,15593292
419,917,3682,3682,917,0,329539
420,70242,280664,280664,70242,0,24789382
421,25227,100420,100420,25227,0,7966825
422,42424,169802,169802,42424,0,13912265
423,517,2070,2070,517,0,177489
424,24263,97068,97068,24263,0,7175874
425,7099,28281,28281,7099,0,2835144
426,2271,9041,9041,2271,0,631592
427,76973,307975,307975,76973,0,25843788
428,5186,20647,20647,5186,0,1461140
429,3331,13422,13422,3331,0,920487
430,46792,187235,187235,46792,0,13949985
431,10023,40042,40042,10023,0,3182812
432,131726,526917,526917,131726,0,47101813
433,659,2625,2625,659,0,245619
434,5222,21163,21163,5222,0,1706174
435,100844,403085,403085,100844,0,34325829
436,25127,100731,100731,25127,0,7510968
437,36079,144398,144398,36079,0,10948756
438,13617,54524,54524,13617,0,3767618
439,6484,25748,25748,6484,0,1752667
440,18406,73638,73638,18406,0,5212676
441,43285,173406,173406,43285,0,13070435
442,22695,90829,90829,22695,0,6381413
443,221,897,897,221,0,73393
444,16828,67290,67290,16828,0,4864132
445,21027,84292,84292,21027,0,5877603
446,72401,289777,289777,72401,0,22888467
447,47755,190733,190733,47755,0,15382177
448,38337,153249,153249,38337,0,11294961
449,6173,24685,24685,6173,0,1696525
450,33889,135639,135639,33889,0,10585298
451,42049,167993,167993,42049,0,14002618
452,21653,86595,86595,21653,0,7416522
453,76999,307991,307991,76999,0,25350211
454,98,407,407,98,0,42398
455,30957,123942,123942,30957,0,8988775
456,12535,50167,50167,12535,0,3764988
457,14516,58027,58027,14516,0,4557108
458,100127,400385,400385,100127,0,33899504
459,40888,163802,163802,40888,0,12489137
460,711,2798,2798,711,0,214331
461,50650,202703,202703,50650,0,14795909
462,20779,83087,83087,20779,0,5917370
463,86225,344823,344823,86225,0,25884433
464,6813,27166,27166,6813,0,1909980
465,43779,174842,174842,43779,0,12738850
466,26469,105381,105381,26469,0,8192561
467,44501,178164,178164,44501,0,13142074
468,25017,100279,100279,25017,0,7005695
469,50031,199858,199858,50031,0,15302351
470,1601,6381,6381,1601,0,546794
471,41093,164484,164484,41093,0,13747934
472,4547,18212,18212,4547,0,1492135
473,13965,56075,56075,13965,0,4200376
474,29807,119204,119204,29807,0,8951055
475,10345,41261,41261,10345,0,3192461
476,114653,458639,458639,114653,0,37945784
477,27221,108997,108997,27221,0,8833508
478,70392,281312,281312,70392,0,24186153
479,34444,137458,137458,34444,0,10746998
480,8163,32592,32592,8163,0,2303847
481,4236,17085,17085,4236,0,1162011
482,42536,170348,170348,42536,0,12560484
483,18467,74013,74013,18467,0,5291625
484,140321,560845,560845,140321,0,46700928
485,72235,289300,289300,72235,0,22956597
486,64899,259448,259448,64899,0,19731094
487,14821,58889,58889,14821,0,4027858
488,183682,734666,734666,183682,0,60074879
489,3405,13472,13472,3405,0,1136572
490,22427,89658,89658,22427,0,6727912
491,15870,63539,63539,15870,0,4355058
492,43485,174082,174082,43485,0,13057570
493,1005,4046,4046,1005,0,410534
494,4539,17983,17983,4539,0,1315231
495,39983,159625,159625,39983,0,12452002
496,47165,188311,188311,47165,0,13734191
497,13140,52452,52452,13140,0,4393948
498,114363,457482,457482,114363,0,34234599
499,25485,101985,101985,25485,0,7564477
500,89254,356982,356982,89254,0,27718680
501,623,2403,2403,623,0,187431
502,11959,47309,47309,11959,0,3395974
503,22158,88361,88361,22158,0,6547791
504,8764,34918,34918,8764,0,2498295
505,64043,256219,256219,64043,0,18981372
506,83675,334473,334473,83675,0,29225727
507,2447,9876,9876,2447,0,772823
508,9477,37923,37923,9477,0,2572858
509,19868,79594,79594,19868,0,5766489
510,7575,30339,30339,7575,0,2049456
511,71000,283782,283782,71000,0,22094299
512,41450,165753,165753,41450,0,12374223
513,5107,20554,20554,5107,0,1421081
514,16456,65988,65988,16456,0,4816762
515,1773,7050,7050,1773,0,487729
516,6661,26593,26593,6661,0,1783369
517,19787,78978,78978,19787,0,5551280
518,113277,453069,453069,113277,0,35339884
519,1608,6415,6415,1608,0,470185
520,15808,63219,63219,15808,0,4405643
521,103079,412242,412242,103079,0,31150619
522,92969,371622,371622,92969,0,28921043
523,11809,47261,47261,11809,0,3270240
524,149959,599665,599665,149959,0,48177566
525,54409,217298,217298,54409,0,16222544
526,20335,81371,81371,20335,0,5750114
527,41428,165352,165352,41428,0,11957840
528,36552,146402,146402,36552,0,11544089
529,13729,54994,54994,13729,0,3755045
530,52351,209053,209053,52351,0,16273131
531,45159,180813,180813,45159,0,13232427
